Year,Country,Song,Artist
1956,Switzerland,Refrain,Lys Assia
1957,Netherlands,Net als toen,Corry Brokken
1958,France,"Dors, mon amour",André Claveau
1959,Netherlands,Een beetje,Teddy Scholten
1960,France,Tom Pillibi,Jacqueline Boyer
1961,Luxembourg,Nous les amoureux,Jean-Claude Pascal
1962,France,Un premier amour,Isabelle Aubret
1963,Denmark,Dansevise,Grethe and Jørgen Ingmann
1964,Italy,Non ho l'età,Gigliola Cinquetti
1965,Luxembourg,"Poupée de cire, poupée de son",France Gall
1966,Austria,"Merci, Chérie",Udo Jürgens
1967,United Kingdom,Puppet on a String,Sandie Shaw
1968,Spain,La La La,Massiel
1969,Spain,Vivo cantando,Salomé
1970,Ireland,All Kinds of Everything,Dana
1971,Monaco,"Un banc, un arbre, une rue",Séverine
1972,Luxembourg,Après toi,Vicky Leandros
1973,Luxembourg,Tu te reconnaîtras,Anne-Marie David
1974,Sweden,Waterloo,ABBA
1975,Netherlands,Ding-a-dong,Teach-In
1976,United Kingdom,Save Your Kisses for Me,Brotherhood of Man
1977,France,L'Oiseau et l'Enfant,Marie Myriam
1978,Israel,"A-Ba-Ni-Bi"" (א-ב-ני-בי)",Izhar Cohen and the Alphabeta
1979,Israel,"Hallelujah"" (הללויה)",Milk and Honey
1980,Ireland,What's Another Year,Johnny Logan
1981,United Kingdom,Making Your Mind Up,Bucks Fizz
1982,Germany,Ein bißchen Frieden,Nicole
1983,Luxembourg,Si la vie est cadeau,Corinne Hermès
1984,Sweden,Diggi-Loo Diggi-Ley,Herreys
1985,Norway,La det swinge,Bobbysocks!
1986,Belgium,J'aime la vie,Sandra Kim
1987,Ireland,Hold Me Now,Johnny Logan
1988,Switzerland,Ne partez pas sans moi,Céline Dion
1989,Yugoslavia,Rock Me,Riva
1990,Italy,Insieme: 1992,Toto Cutugno
1991,Sweden,Fångad av en stormvind,Carola
1992,Ireland,Why Me?,Linda Martin
1993,Ireland,In Your Eyes,Niamh Kavanagh
1994,Ireland,Rock 'n' Roll Kids,Paul Harrington and Charlie McGettigan
1995,Norway,Nocturne,Secret Garden
1996,Ireland,The Voice,Eimear Quinn
1997,United Kingdom,Love Shine a Light,Katrina and the Waves
1998,Israel,"Diva"" (דיווה)",Dana International
1999,Sweden,Take Me to Your Heaven,Charlotte Nilsson
2000,Denmark,Fly on the Wings of Love,Olsen Brothers
2001,Estonia,Everybody,"Tanel Padar, Dave Benton and 2XL"
2002,Latvia,I Wanna,Marie N
2003,Turkey,Everyway That I Can,Sertab Erener
2004,Ukraine,Wild Dances,Ruslana
2005,Greece,My Number One,Helena Paparizou
2006,Finland,Hard Rock Hallelujah,Lordi
2007,Serbia,"Molitva"" (Молитва)",Marija Šerifović
2008,Russia,Believe,Dima Bilan
2009,Norway,Fairytale,Alexander Rybak
2010,Germany,Satellite,Lena
2011,Azerbaijan,Running Scared,Ell and Nikki
2012,Sweden,Euphoria,Loreen
2013,Denmark,Only Teardrops,Emmelie de Forest
2014,Austria,Rise Like a Phoenix,Conchita Wurst
2015,Sweden,Heroes,Måns Zelmerlöw
2016,Ukraine,1944,Jamala
2017,Portugal,Amar pelos dois,Salvador Sobral
2018,Israel,Toy,Netta
2019,Netherlands,Arcade,Duncan Laurence
2021,Italy,Zitti e buoni,Måneskin
2022,Ukraine,"Stefania"" (Стефанія)",Kalush Orchestra
2023,Sweden,Tattoo,Loreen
2024,Switzerland,The Code,Nemo
2025,Austria,Wasted Love,JJ
